Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
06.04.2024.,235494,87,Dubrovačko-neretvanska,Konavle,Gruda,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-87.22-m2-novogradnja-oglas-43153911
06.04.2024.,274779,101,Dubrovačko-neretvanska,Konavle,Gruda,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-101.77-m2-novogradnja-oglas-43153858
06.04.2024.,286443,106,Dubrovačko-neretvanska,Konavle,Gruda,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-106.09-m2-novogradnja-oglas-43153763
06.04.2024.,298863,110,Dubrovačko-neretvanska,Konavle,Gruda,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-110.69-m2-novogradnja-oglas-43154068
06.04.2024.,235494,87,Dubrovačko-neretvanska,Konavle,Gruda,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-87.22-m2-novogradnja-oglas-43153984
06.04.2024.,292815,108,Dubrovačko-neretvanska,Konavle,Gruda,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-108.45-m2-novogradnja-oglas-43153877
06.04.2024.,237000,76,Dubrovačko-neretvanska,Korčula,Korčula,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/korcula-dvosobni-stan-novogradnji-pogled-more-76-m2-oglas-42259062
06.04.2024.,369000,129,Dubrovačko-neretvanska,Korčula,Korčula,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/korcula-dvoetazni-penthouse-novogradnji-pogled-more-129-m2-oglas-40513702
06.04.2024.,162000,55,Dubrovačko-neretvanska,Dubrovnik - Okolica,Nova Moko�ica,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,C,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/ponudi-dvosobni-stan-pogledom-rijeku-mokosici-dubrovni-oglas-43356337
06.04.2024.,300000,146,Dubrovačko-neretvanska,Orebi�,Podgorje,5+ sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,1980.,https://www.njuskalo.hr/nekretnine/orebic-pogorje-2-stana-88-58-m2-prodaja-oglas-42507458
06.04.2024.,300000,50,Dubrovačko-neretvanska,Dubrovnik,Stari grad,3-sobni,U kući,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/dvosobni-stan-starom-gradu-oglas-43355841
05.04.2024.,175000,54,Dubrovačko-neretvanska,Konavle,Cavtat,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/cavtat-novogradnja-apartman-54.49-m2-oglas-42496913
05.04.2024.,200000,62,Dubrovačko-neretvanska,Konavle,Cavtat,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/cavtat-novogradnja-stan-62.42-m2-oglas-42496910
05.04.2024.,307000,95,Dubrovačko-neretvanska,Konavle,Cavtat,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/cavtat-novogradnja-stan-95.71-m2-oglas-42496906
05.04.2024.,200000,62,Dubrovačko-neretvanska,Konavle,Cavtat,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/cavtat-novogradnja-stan-62.42-m2-oglas-42496903
05.04.2024.,307000,95,Dubrovačko-neretvanska,Konavle,Cavtat,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/cavtat-novogradnja-stan-95.71-m2-oglas-42496918
05.04.2024.,185000,57,Dubrovačko-neretvanska,Konavle,Cavtat,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/cavtat-novogradnja-stan-57.54-m2-oglas-42496915
05.04.2024.,277000,86,Dubrovačko-neretvanska,Konavle,Cavtat,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/cavtat-novogradnja-stan-86.44-m2-oglas-42496886
05.04.2024.,198000,61,Dubrovačko-neretvanska,Konavle,Cavtat,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/cavtat-novogradnja-apartman-61.84-m2-oglas-42496893
05.04.2024.,193000,60,Dubrovačko-neretvanska,Konavle,Cavtat,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/cavtat-novogradnja-apartman-60.08-m2-oglas-42496887
05.04.2024.,550000,90,Dubrovačko-neretvanska,Dubrovnik,Plo�e,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/dubrovnik-ploce-dvosoban-stan-predivnim-pogledom-stari-grad-oglas-42954514
05.04.2024.,875000,103,Dubrovačko-neretvanska,Dubrovnik,Lapad,3-sobni,U kući,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/dubrovnik-uvala-lapad-prostrani-dvosobni-stan-vrhunskoj-poziciji-oglas-42553930
05.04.2024.,280000,85,Dubrovačko-neretvanska,Konavle,Cavtat,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/cavtat-moderan-obiteljski-stan-65-m2-oglas-40950233
05.04.2024.,400000,78,Dubrovačko-neretvanska,Dubrovnik,Gru�,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/dvosobni-stan-novogradnji-izvrsnoj-lokaciji-dubrovnik-gruz-oglas-42339490
05.04.2024.,220000,77,Dubrovačko-neretvanska,Korčula,Korčula,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/dvosoban-stan-atraktivnoj-lokaciji-otok-korcula-oglas-42258854
05.04.2024.,330000,61,Dubrovačko-neretvanska,Dubrovnik,Stari grad,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/sarmantan-stan-potkrovlju-korak-straduna-dubrovnik-centar-oglas-42101867
05.04.2024.,415000,127,Dubrovačko-neretvanska,�upa Dubrova�ka,Mlini,5+ sobni,U kući,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/cetverosobni-stan-renoviran-moderno-ureden-pogledom-more-oko-oglas-42101860
