Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors
155000,118,Brodsko-posavska,Slavonski Brod,Marsonija,4-sobni,U stambenoj zgradi,Jednoetažni
83000,67,Brodsko-posavska,Slavonski Brod,Slavonija 1,2-sobni,U stambenoj zgradi,Jednoetažni
2000,52,Brodsko-posavska,Slavonski Brod,Marsonija,2-sobni,U stambenoj zgradi,Jednoetažni
2000,52,Brodsko-posavska,Slavonski Brod,Marsonija,2-sobni,U stambenoj zgradi,Jednoetažni
2000,70,Brodsko-posavska,Slavonski Brod,Marsonija,3-sobni,U stambenoj zgradi,Jednoetažni
2000,63,Brodsko-posavska,Slavonski Brod,Marsonija,2-sobni,U stambenoj zgradi,Jednoetažni
2000,55,Brodsko-posavska,Slavonski Brod,Marsonija,2-sobni,U stambenoj zgradi,Jednoetažni
2000,55,Brodsko-posavska,Slavonski Brod,Marsonija,2-sobni,U stambenoj zgradi,Jednoetažni
2200,41,Brodsko-posavska,Slavonski Brod,Marsonija,2-sobni,U stambenoj zgradi,Jednoetažni
2100,55,Brodsko-posavska,Slavonski Brod,Marsonija,2-sobni,U stambenoj zgradi,Jednoetažni
2100,75,Brodsko-posavska,Slavonski Brod,Marsonija,3-sobni,U stambenoj zgradi,Jednoetažni
132000,70,Brodsko-posavska,Slavonski Brod,Plavo Polje,3-sobni,U stambenoj zgradi,Jednoetažni
120000,53,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
140000,66,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
125000,55,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
140000,96,Brodsko-posavska,Nova Gradiška,Nova Gradiška,3-sobni,U stambenoj zgradi,Jednoetažni
92000,75,Brodsko-posavska,Slavonski Brod,Jelas,3-sobni,U stambenoj zgradi,Jednoetažni
165000,68,Brodsko-posavska,Rešetari,Rešetari,3-sobni,U stambenoj zgradi,Jednoetažni
103840,47,Brodsko-posavska,Slavonski Brod,Centar,Garsonijera,U stambenoj zgradi,Jednoetažni
143000,65,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
124124,56,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
164516,74,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
136906,62,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
120120,54,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
467250,186,Brodsko-posavska,Slavonski Brod,Centar,4-sobni,U stambenoj zgradi,Jednoetažni
184000,120,Brodsko-posavska,Rešetari,Rešetari,3-sobni,U stambenoj zgradi,Jednoetažni
134999,76,Brodsko-posavska,Slavonski Brod,Mali Pariz,3-sobni,U stambenoj zgradi,Jednoetažni
109900,62,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
95000,69,Brodsko-posavska,Slavonski Brod,Mikrorajon,3-sobni,U stambenoj zgradi,Jednoetažni
52000,68,Brodsko-posavska,Nova Gradiška,Nova Gradiška,2-sobni,U stambenoj zgradi,Jednoetažni
179095,99,Brodsko-posavska,Slavonski Brod,Livada,4-sobni,U stambenoj zgradi,Jednoetažni
198415,93,Brodsko-posavska,Slavonski Brod,Livada,4-sobni,U stambenoj zgradi,Jednoetažni
110000,62,Brodsko-posavska,Slavonski Brod,Slavonija 1,2-sobni,U stambenoj zgradi,Jednoetažni
125400,66,Brodsko-posavska,Slavonski Brod,Livada,3-sobni,U stambenoj zgradi,Jednoetažni
209220,95,Brodsko-posavska,Slavonski Brod,Naselje Kralja Tomislava,4-sobni,U stambenoj zgradi,Višeetažni
107000,81,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,3-sobni,U stambenoj zgradi,Jednoetažni
110000,62,Brodsko-posavska,Slavonski Brod,Slavonija 1,2-sobni,U stambenoj zgradi,Jednoetažni
169000,111,Brodsko-posavska,Slavonski Brod,Mali Pariz,4-sobni,U stambenoj zgradi,Jednoetažni
149000,89,Brodsko-posavska,Slavonski Brod,Mali Pariz,3-sobni,U stambenoj zgradi,Jednoetažni
179095,102,Brodsko-posavska,Slavonski Brod,Livada,4-sobni,U stambenoj zgradi,Jednoetažni
110000,67,Brodsko-posavska,Slavonski Brod,Slavonija 2,2-sobni,U stambenoj zgradi,Jednoetažni
198415,113,Brodsko-posavska,Slavonski Brod,Livada,4-sobni,U stambenoj zgradi,Jednoetažni
70000,62,Brodsko-posavska,Slavonski Brod,Naselje Kralja Tomislava,2-sobni,U stambenoj zgradi,Jednoetažni
1,41,Brodsko-posavska,Slavonski Brod,Marsonija,2-sobni,U stambenoj zgradi,Jednoetažni
1,52,Brodsko-posavska,Slavonski Brod,Marsonija,2-sobni,U stambenoj zgradi,Jednoetažni
156200,78,Brodsko-posavska,Slavonski Brod,Centar,3-sobni,U stambenoj zgradi,Jednoetažni
79850,50,Brodsko-posavska,Slavonski Brod,Slavonija 2,3-sobni,U stambenoj zgradi,Dvoetažni
105000,105,Brodsko-posavska,Nova Gradiška,Nova Gradiška,4-sobni,U stambenoj zgradi,Jednoetažni
1,80,Brodsko-posavska,Slavonski Brod,Livada,3-sobni,U stambenoj zgradi,Jednoetažni
280000,127,Brodsko-posavska,Slavonski Brod,Centar,4-sobni,U stambenoj zgradi,Jednoetažni
166800,139,Brodsko-posavska,Nova Gradiška,Nova Gradiška,4-sobni,U stambenoj zgradi,Jednoetažni
76000,62,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,2-sobni,U stambenoj zgradi,Jednoetažni
120000,99,Brodsko-posavska,Slavonski Brod,Naselje Kralja Tomislava,3-sobni,U stambenoj zgradi,Jednoetažni
125000,69,Brodsko-posavska,Slavonski Brod,Centar,3-sobni,U stambenoj zgradi,Jednoetažni
99000,95,Brodsko-posavska,Nova Gradiška,Nova Gradiška,3-sobni,U stambenoj zgradi,Jednoetažni
110000,71,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,3-sobni,U stambenoj zgradi,Jednoetažni
121000,67,Brodsko-posavska,Slavonski Brod,Naselje Zrinski-Frankopana,3-sobni,U stambenoj zgradi,Jednoetažni
104500,76,Brodsko-posavska,Slavonski Brod,Naselje Zrinski-Frankopana,2-sobni,U stambenoj zgradi,Jednoetažni
185000,122,Brodsko-posavska,Slavonski Brod,Kolonija,4-sobni,U kuæi,Dvoetažni
105000,92,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U kuæi,Jednoetažni
83000,55,Brodsko-posavska,Nova Gradiška,Nova Gradiška,2-sobni,U stambenoj zgradi,Jednoetažni
