Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
19.08.2023.,562000,133,Zadarska,Zadar - Okolica,Ko�ino,4-sobni,U stambenoj zgradi,Jednoeta�ni,Nenamje�ten,A,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-stan-prizemlju-vrtom-bazenom-133.81m2-oglas-41194876
19.08.2023.,370230,86,Zadarska,Zadar - Okolica,Ko�ino,3-sobni,U stambenoj zgradi,Jednoeta�ni,Nenamje�ten,A,1.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-stan-prvom-katu-200-m-mora-oglas-41194875
19.08.2023.,370230,86,Zadarska,Zadar - Okolica,Ko�ino,3-sobni,U stambenoj zgradi,Jednoeta�ni,Nenamje�ten,A,1.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-stan-prvom-katu-200-m-mora-oglas-41194874
19.08.2023.,1080000,207,Zadarska,Zadar - Okolica,Ko�ino,4-sobni,U stambenoj zgradi,Jednoeta�ni,Nenamje�ten,A,2.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-elitni-stan-drugom-katu-143m2-200-m-mora-oglas-41194873
19.08.2023.,668640,159,Zadarska,Zadar - Okolica,Ko�ino,4-sobni,U stambenoj zgradi,Jednoeta�ni,Nenamje�ten,A,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-stan-prizemlju-159.20m2-oglas-41194872
19.08.2023.,356083,82,Zadarska,Zadar - Okolica,Ko�ino,3-sobni,U stambenoj zgradi,Jednoeta�ni,Nenamje�ten,A,1.,2023.,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-stan-prvom-katu-oglas-41194871
19.08.2023.,1080000,214,Zadarska,Zadar - Okolica,Ko�ino,4-sobni,U stambenoj zgradi,Jednoeta�ni,Nenamje�ten,A,2.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-elitni-stan-200m-mora-oglas-41194870
11.08.2023.,210000,71,Zadarska,Zadar,Borik,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/zadar-borik-stan-velikom-mkrovnom-terasom-oglas-41147615
06.07.2023.,183000,59,Zadarska,Nin,Zaton,1-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2010.,https://www.njuskalo.hr/nekretnine/stan-zaton-59.23-m2-oglas-40891009
05.07.2023.,176188,51,Zadarska,Pag,Pag,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-2-vpm-novogradnja-prodaja-povljana-otok-pag-51.8-m2-oglas-40889682
04.07.2023.,260000,84,Zadarska,Zadar,Petri�i,2-sobni,U ku�i,Jednoeta�ni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/zadar-petrici-84.80m2-namjesten-vrt-povrsine-125m2-oglas-40625094
04.07.2023.,455000,176,Zadarska,Zadar,Poluotok,4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/zadar-poluotok-176.43m2-125m2-vrt-vrhunska-lokacija-oglas-37661262
04.07.2023.,650000,126,Zadarska,Zadar,Diklo,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,2021.,https://www.njuskalo.hr/nekretnine/diklo-novogradnja-45m-mora-krovna-terasa-pogled-parking-oglas-36123242
27.06.2023.,135000,55,Zadarska,Benkovac,Benkovac,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,1980.,https://www.njuskalo.hr/nekretnine/benkovac-dvosobni-stan-centru-oglas-40778671
21.06.2023.,220000,55,Zadarska,Zadar,Poluotok,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/poluotok-atraktivna-pozicija-renoviran-stan-55m2-oglas-40738198
13.06.2023.,1236690,207,Zadarska,Zadar,Kolovare,3-sobni,U stambenoj zgradi,Dvoeta�ni,Unknown,Unknown,Suteren,2023.,https://www.njuskalo.hr/nekretnine/stan-vili-kraj-mora-267-m2-zadar-oglas-40347368
13.06.2023.,1606350,267,Zadarska,Zadar,Kolovare,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/stan-vili-kraj-mora-267-m2-zadar-oglas-40347367
12.06.2023.,275000,117,Zadarska,Pag,Pag,4-sobni,U stambenoj zgradi,Jednoeta�ni,Potpuno namje�ten,A,3.,2015.,https://www.njuskalo.hr/nekretnine/stan-pag-61.4-m2-oglas-16026428
13.05.2023.,330000,101,Zadarska,Zadar,Borik,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2017.,https://www.njuskalo.hr/nekretnine/stan-prizemlje-velikim-vrtom-pogled-more-mirna-lokacija-top-oglas-40452082
11.05.2023.,499000,122,Zadarska,Kolan,Mandre,4-sobni,U stambenoj zgradi,Dvoeta�ni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-s1-novogradnja-pag-mandre-122-m2-4-soban-oglas-40436848
11.05.2023.,499000,125,Zadarska,Kolan,Mandre,4-sobni,U stambenoj zgradi,Dvoeta�ni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-s2-novogradnja-pag-mandre-125-m2-4-soban-oglas-40436847
11.05.2023.,499000,120,Zadarska,Kolan,Mandre,4-sobni,U stambenoj zgradi,Dvoeta�ni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-s3-novogradnja-pag-mandre-120-m2-4-soban-oglas-40436846
05.05.2023.,150000,32,Zadarska,Zadar,Ri�ina,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Visoko prizemlje,2000.,https://www.njuskalo.hr/nekretnine/stan-prodaja-zadar-32m2-oglas-40394251
04.04.2023.,450000,122,Zadarska,Zadar,Borik,4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/borik-prizemlje-vrtom-bazenom-122m2-top-lokacija-oglas-40156213
16.03.2023.,452215,137,Zadarska,Privlaka,Privlaka,4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/privlaka-ekskluzivan-stan-novogradnja-137-m2-loggia-dvije-terase-oglas-39979393
08.03.2023.,630000,212,Zadarska,Privlaka,Privlaka,5+ sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,B,Prizemlje,2006.,https://www.njuskalo.hr/nekretnine/luksuzan-stan-prvi-red-mora-blizina-zadra-4s-db-oglas-39909298
08.03.2023.,202478,69,Zadarska,Privlaka,Privlaka,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/privlaka-novogradnja-3-red-mora-stan-69.8-m2-1-kat-alu-dizal-top-oglas-39909133
09.02.2023.,310000,91,Zadarska,Zadar,Mocire,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-prodaja-zadar-91.4m2-oglas-39652597
08.02.2023.,600000,96,Zadarska,Zadar,Poluotok,4-sobni,U stambenoj zgradi,Jednoeta�ni,Potpuno namje�ten,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/zadar-kalelarga-luksuzno-namjesten-stan-96-m2-3-kat-top-oglas-39644812
13.01.2023.,336000,104,Zadarska,Zadar,Stanovi,2-sobni,U stambenoj zgradi,Vi�eeta�ni,Unknown,Unknown,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/prodaja-6-ekskluzivnih-stanova-top-lokacija-gradu-visnjik-novogr-oglas-39392892
10.12.2022.,370000,112,Zadarska,Zadar - Okolica,Ko�ino,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-prodaju-200-m-mora-kozino-oglas-38990950
04.08.2022.,396900,132,Zadarska,Zadar - Okolica,Ko�ino,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/kozino-luksuzni-dvosoban-stan-prizemlju-vrtom-oglas-38180825
04.08.2022.,241200,80,Zadarska,Zadar - Okolica,Ko�ino,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/kozino-luksuzni-jednosoban-stan-prvom-katu-novogradnja-oglas-38180824
26.07.2022.,235000,244,Zadarska,Zadar,Borik,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,A,Prizemlje,2021.,https://www.njuskalo.hr/nekretnine/borik-novogradnja-244.11-m2-a-s4-oglas-34426482
02.12.2021.,480000,139,Zadarska,Zadar,Poluotok,4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,1895.,https://www.njuskalo.hr/nekretnine/zadar-poluotok-hotel-zagreb-stan-139-m2-rivi-top-oglas-36163360
