Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
10.05.2024.,1374,175000,42.57625790599,18.239639551641,53,Dubrovačko-neretvanska,Konavle,Zvekovica,3,U stambenoj zgradi,Jednoetažni,Unknown,C,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-zvekovici-oglas-42577407
10.05.2024.,649,456000,42.64932429907,18.079011984011,95,Dubrovačko-neretvanska,Dubrovnik,Gorica,3,U stambenoj zgradi,Jednoetažni,Unknown,C,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/dva-spojena-apartmana-dvosobni-stan-oglas-43177244
10.05.2024.,1020,570000,42.675664367003,18.130042630467,160,Dubrovačko-neretvanska,Dubrovnik - Okolica,Rožat,3,U stambenoj zgradi,Jednoetažni,Unknown,A,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/veliki-penthouse-prostranom-taracom-oglas-42258756
10.05.2024.,585,390000,42.639981788595,18.109483756001,50,Dubrovačko-neretvanska,Dubrovnik,Stari grad,2,U stambenoj zgradi,Jednoetažni,Unknown,C,1.,Unknown,https://www.njuskalo.hr/nekretnine/lijep-renovirani-stan-gradu-oglas-42700426
10.05.2024.,4618,580000,42.664631792658,18.066683891324,102,Dubrovačko-neretvanska,Dubrovnik,Solitudo,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/lapadu-prodaja-trosobnog-stana-pogledom-more-oglas-41528976
10.05.2024.,7798,490000,42.642453617882,18.107237719936,60,Dubrovačko-neretvanska,Dubrovnik,Stari grad,3,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/prodaja-stana-starom-gradu-oglas-37397506
10.05.2024.,236,360000,42.655542498115,18.078422940268,55,Dubrovačko-neretvanska,Dubrovnik,Lapad,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/prodaja-stana-garazu-pogledom-more-centru-dubrovnika-oglas-43684589
10.05.2024.,402,170000,42.572567129632,18.240265639023,50,Dubrovačko-neretvanska,Konavle,Zvekovica,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2022.,https://www.njuskalo.hr/nekretnine/prodaja-dvosobnog-stana-balkonom-blizini-cavtata-dubrovnik-oglas-43626486
10.05.2024.,1256,220000,42.948669795438,17.169417013023,77,Dubrovačko-neretvanska,Korčula,Korčula,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/dvosoban-stan-atraktivnoj-lokaciji-otok-korcula-oglas-42258854
10.05.2024.,3867,400000,42.65807126601,18.092764630574,78,Dubrovačko-neretvanska,Dubrovnik,Gruž,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/dvosobni-stan-novogradnji-izvrsnoj-lokaciji-dubrovnik-gruz-oglas-42339490
10.05.2024.,3037,330000,42.640468897053,18.110988820831,61,Dubrovačko-neretvanska,Dubrovnik,Stari grad,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/sarmantan-stan-potkrovlju-korak-straduna-dubrovnik-centar-oglas-42101867
10.05.2024.,2927,680000,42.647603903355,18.101919567477,172,Dubrovačko-neretvanska,Dubrovnik,Gornji Kono,5,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/dva-trosobna-stana-centru-dubrovnika-agencijska-preporuka-oglas-41170039
