Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
11.05.2024.,281,257807,45.910361812648,16.857552773724,112,Bjelovarsko-bilogorska,Bjelovar,Sjever,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-izgradnji-prizemlje-112.09-m2-oglas-43706539
11.05.2024.,310,211186,45.910361812648,16.857552773724,91,Bjelovarsko-bilogorska,Bjelovar,Sjever,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,2024.,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-izgradnji-drugi-kat-potkrovlje-91.82-m2-oglas-43706538
10.05.2024.,6480,170000,45.901282490432,16.854794539683,180,Bjelovarsko-bilogorska,Bjelovar,Centar,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,1905.,https://www.njuskalo.hr/nekretnine/stan-secesijskoj-kuci-vrtom-centru-bjelovara-oglas-40063240
09.05.2024.,9277,127000,45.915740007352,16.86027560105,89,Bjelovarsko-bilogorska,Bjelovar,Sjever,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/trosobni-dvoetazni-stan-potkrovlju-oglas-38350887
09.05.2024.,5599,190000,45.9105502,16.8518444,143,Bjelovarsko-bilogorska,Bjelovar,Sjever,2,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-prizemlju-143.89-m2-oglas-37395643
09.05.2024.,6938,116750,45.9105502,16.8518444,75,Bjelovarsko-bilogorska,Bjelovar,Sjever,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-kat-75.32-m2-oglas-37395642
09.05.2024.,7842,99000,45.9105502,16.8518444,67,Bjelovarsko-bilogorska,Bjelovar,Sjever,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-kat-67.45-m2-oglas-37395641
09.05.2024.,9911,189720,Unknown,Unknown,94,Bjelovarsko-bilogorska,Bjelovar,Naselje kralja Zvonimira,3,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-cetverosobni-stan-oglas-34563642
09.05.2024.,3008,163508,45.90233464919,16.855964280685,83,Bjelovarsko-bilogorska,Bjelovar,Centar,3,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-centar-dvoetazni-stan-84-m2-izgradnja-2024-godini-oglas-42216839
09.05.2024.,3044,139289,Unknown,Unknown,71,Bjelovarsko-bilogorska,Bjelovar,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-centar-stan-69-m2-izgradnja-2024-g-oglas-42216838
09.05.2024.,9323,84000,45.9049226,16.8399284,45,Bjelovarsko-bilogorska,Bjelovar,Centar,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,2015.,https://www.njuskalo.hr/nekretnine/bjelovar-stan-45.35-m2-oglas-41986095
09.05.2024.,3429,157014,45.91551355547,16.864571600506,87,Bjelovarsko-bilogorska,Bjelovar,Sjever,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-izgradnji-87.23-m2-oglas-41578210
09.05.2024.,6878,145000,45.9133979,16.8636019,135,Bjelovarsko-bilogorska,Bjelovar,Sjever,3,U kući,Dvoetažni,Unknown,Unknown,Prizemlje,1982.,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-kuci-135.73-m2-oglas-39058050
09.05.2024.,10870,160000,45.8997674,16.8389858,86,Bjelovarsko-bilogorska,Bjelovar,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1925.,https://www.njuskalo.hr/nekretnine/bjelovar-centar-novouredeni-stan-71.14-m2-oglas-35995990
05.05.2024.,7345,138000,45.708705821419,17.183777834767,115,Bjelovarsko-bilogorska,Grubišno Polje,Grubišno Polje,4,U stambenoj zgradi,Jednoetažni,Unknown,A+,1.,1985.,https://www.njuskalo.hr/nekretnine/stan-grubisno-polje-115.00-m2-oglas-39490063
30.04.2024.,1205,49700,45.749318591462,16.615941524506,47,Bjelovarsko-bilogorska,Čazma,Čazma,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-cazma-47.34-m2-oglas-43594027
25.04.2024.,532,176111,45.916156365638,16.857983947514,92,Bjelovarsko-bilogorska,Bjelovar,Zvijerci,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/bjelovar-zvijerci-cetverosobni-izgradnji-92.69-m2-oglas-43554016
25.04.2024.,414,169746,45.916156365638,16.857983947514,89,Bjelovarsko-bilogorska,Bjelovar,Zvijerci,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/bjelovar-zvijerci-cetverosobni-izgradnji-89.34-m2-oglas-43554015
25.04.2024.,536,136221,45.916156365638,16.857983947514,80,Bjelovarsko-bilogorska,Bjelovar,Zvijerci,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,2024.,https://www.njuskalo.hr/nekretnine/bjelovar-zvijerci-cetverosobni-izgradnji-80.13-m2-oglas-43554014
25.04.2024.,330,154955,45.916156365638,16.857983947514,91,Bjelovarsko-bilogorska,Bjelovar,Zvijerci,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,2024.,https://www.njuskalo.hr/nekretnine/bjelovar-zvijerci-cetverosobni-izgradnji-91.15-m2-oglas-43554013
