Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
27.05.2024.,554,161500,45.983924920727,15.971158214545,79,Krapinsko-zagorska,Donja Stubica,Donja Stubica,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2023.,https://www.njuskalo.hr/nekretnine/donja-stubica-novogradnja-oglas-43151483
27.05.2024.,68,215000,46.165085534882,15.743098707349,85,Krapinsko-zagorska,Pregrada,Vrhi Pregradski,3,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/luksuzni-stan-novogradnja-pregrada-107.80-m2-s1-oglas-43742585
27.05.2024.,133,195000,46.165085534882,15.743098707349,80,Krapinsko-zagorska,Pregrada,Vrhi Pregradski,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,1.,2024.,https://www.njuskalo.hr/nekretnine/luksuzni-stan-novogradnja-pregrada-103.49-s2-oglas-43742586
27.05.2024.,62,285000,46.165085534882,15.743098707349,114,Krapinsko-zagorska,Pregrada,Vrhi Pregradski,3,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/luksuzni-stan-novogradnja-pregrada-107.80-m2-oglas-43742584
27.05.2024.,95,149088,46.025284295501,15.907918530845,62,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/prodaja-stan-zabok-moderna-novogradnja-62-m2-oglas-43839041
27.05.2024.,64,217224,46.026333478619,15.905028757674,90,Krapinsko-zagorska,Zabok,Zabok,4,U stambenoj zgradi,Jednoetažni,Unknown,A,Unknown,2024.,https://www.njuskalo.hr/nekretnine/prodaja-stan-zabok-moderna-novogradnja-91-m2-oglas-43839040
27.05.2024.,53,149088,46.0255645883,15.902737669455,62,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Unknown,A,Unknown,2024.,https://www.njuskalo.hr/nekretnine/prodaja-stan-zabok-moderna-novogradnja-62-m2-oglas-43839039
27.05.2024.,50,147072,46.025070968072,15.904655786207,61,Krapinsko-zagorska,Zabok,Zabok,2,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/prodaja-stan-zabok-moderna-novogradnja-61-m2-oglas-43839038
27.05.2024.,45,217224,46.025821798453,15.904299876347,90,Krapinsko-zagorska,Zabok,Zabok,4,U stambenoj zgradi,Jednoetažni,Unknown,A,Unknown,2024.,https://www.njuskalo.hr/nekretnine/prodaja-stan-zabok-moderna-novogradnja-91-m2-oglas-43839034
27.05.2024.,37,147072,46.025047918324,15.90496259406,61,Krapinsko-zagorska,Zabok,Zabok,2,U stambenoj zgradi,Jednoetažni,Unknown,A,Unknown,2024.,https://www.njuskalo.hr/nekretnine/prodaja-stan-zabok-moderna-novogradnja-61-m2-oglas-43839033
26.05.2024.,1912,178000,46.01956,15.837955,82,Krapinsko-zagorska,Veliko Trgovišće,Družilovec,4,U kući,Jednoetažni,Djelomično namješten,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-druzilovec-82.00-m2-oglas-41202336
25.05.2024.,1088,33000,46.173176923769,15.860294655574,37,Krapinsko-zagorska,Krapina,Centar,1,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-krapina-37.20-m2-oglas-43657797
24.05.2024.,111,209000,46.028368,15.909373,72,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Unknown,A,3.,2015.,https://www.njuskalo.hr/nekretnine/prodaja-stan-zabok-matije-gupca-3s-72m2-oglas-43840174
24.05.2024.,33,161500,45.977183,15.948276,85,Krapinsko-zagorska,Donja Stubica,Donja Stubica,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/prodaja-stan-donja-stubica-toplicka-3s-85m2-oglas-43840158
24.05.2024.,19,161500,45.979656,15.971414,85,Krapinsko-zagorska,Donja Stubica,Donja Stubica,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/prodaja-stan-donja-stubica-toplicka-3s-85m2-oglas-43840157
24.05.2024.,27,161500,45.977183,15.948276,85,Krapinsko-zagorska,Donja Stubica,Donja Stubica,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/prodaja-stan-donja-stubica-toplicka-3s-85m2-oglas-43840156
23.05.2024.,235,130000,46.10588087027006,15.84084749221802,69,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,2,U kući,Jednoetažni,Nenamješten,Unknown,Prizemlje,2007.,https://www.njuskalo.hr/nekretnine/stan-krapinske-toplice-69.00-m2-novogradnja-oglas-43831603
23.05.2024.,3435,175000,46.096167310938,15.845861425585,72,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,A+,4.,2023.,https://www.njuskalo.hr/nekretnine/stan-krapinske-toplice-72.00-m2-novogradnja-oglas-42271734
23.05.2024.,216,209000,46.025649374237275,15.907901554146259,72,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,2015.,https://www.njuskalo.hr/nekretnine/stan-zabok-72.00-m2-oglas-43595351
23.05.2024.,524,187000,Unknown,Unknown,71,Krapinsko-zagorska,Zlatar,Zlatar,2,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-zlatar-atraktivan-dvosoban-stan-loggiom-71.40m2-oglas-42737038
